id,order,infraorder,superfamily,family,subfamily,tribe,genus,species,morphospecies
MF960119,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Hespera cyanea,
MF979917,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Agetocera mirabilis,
MG021083,Coleoptera,Cucujiformia,Chrysomeloidea,Chrysomelidae,Galerucinae,,,Macrohaltica subplicata,
MG193386,Coleoptera,Bostrichiformia,Bostrichoidea,,,,,Bostrichoidea sp. 7 KM-2017,
MG193400,Coleoptera,Bostrichiformia,Bostrichoidea,,,,,Bostrichoidea sp. 3 KM-2017,
MG193482,Coleoptera,Cucujiformia,Chrysomeloidea,Cerambycidae,,,,Cerambycidae sp. 1 KM-2017,
MG193487,Coleoptera,Bostrichiformia,Bostrichoidea,,,,,Bostrichoidea sp. 2 KM-2017,
MG193530,Coleoptera,Cucujiformia,Coccinelloidea,Latridiidae,,,,Latridiidae sp. 1 KM-2017,
MG253256,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Curculioninae,,,Anthonomus grandis,
MG728095,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Curculioninae,,,Curculio sp. SZ-2019,
MH404103,Coleoptera,Cucujiformia,Tenebrionoidea,Anthribidae,,,,Anthribidae sp. 1 CG336,
MH404110,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Conoderinae,,,Peltophorus sp. CG295,
MH404113,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Curculioninae,,,Melanterius sp. CG257,
MH404131,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Cossoninae,,,Cossoninae sp. 1 CG319,
MH404134,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Coptonotinae,,,Coptonotus cyclopus,
MH404140,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Cossoninae,,,Pentarthrum elumbe,
MH789722,Coleoptera,Cucujiformia,Tenebrionoidea,Anthicidae,,,,Anthicidae sp. 1 ACP-2013,
MH814932,Coleoptera,Cucujiformia,Curculionoidea,Curculionidae,Entiminae,,,Sitona obsoletus,
