id,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,morphospecies
CPBC0096,Coleoptera,,,,Cleridae,,,,,col098
CPBC0097,Coleoptera,,,,Curculionidae,,,,,col100
CPBC0098,Coleoptera,,,,Curculionidae,Scolytinae,,,,col102
CPBC0099,Coleoptera,,,,Curculionidae,Scolytinae,,,,col105
CPBC0100,Coleoptera,,,,Mycetophagidae,,,,,col106
CPBC0101,Coleoptera,,,,Anobiidae,,,,,col107
CPBC0102,Coleoptera,,,,Anobiidae,,,,,col108
CPBC0104,Coleoptera,,,,Anobiidae,,,,,col109
CPBC0103,Coleoptera,,,,Anobiidae,,,,,col109
CPBC0105,Coleoptera,,,,Anobiidae,,,,,col110
CPBC0106,Coleoptera,,,,Mordellidae,,,,,col111
CPBC0107,Coleoptera,,,,Curculionidae,Conoderinae,,,,col114
CPBC0108,Coleoptera,,,,Leiodidae,Leiodinae,,,,col115
CPBC0109,Coleoptera,,,,Corylophidae,,,,,col116
CPBC0110,Coleoptera,,,,Nitidulidae,,,,,col118
CPBC0111,Coleoptera,,,,Apionidae,,,,,col123
CPBC0112,Coleoptera,,,,Curculionidae,,,,,col124
CPBC0113,Coleoptera,,,,Staphylinidae,Aleocharinae,,,,col125
CPBC0114,Coleoptera,,,,Staphylinidae,Aleocharinae,,,,col125
CPBC0115,Coleoptera,,,,Cerambycidae,Lamiinae,,,,col126
CPBC0117,Coleoptera,,,,Tenebrionidae,Diaperinae,,,,col127
CPBC0116,Coleoptera,,,,Tenebrionidae,Diaperinae,,,,col127
CPBC0118,Coleoptera,,,,Coccinellidae,,,,,col128
CPBC0119,Coleoptera,,,,Coccinellidae,,,,,col128
CPBC0120,Coleoptera,,,,Corylophidae,,,,,col130
CPBC0121,Coleoptera,,,,Curculionidae,Curculioninae,Anthonomini,,,col133
CPBC0122,Coleoptera,,,,Tenebrionidae,Cteniopodinae,,,,col134
CPBC0123,Coleoptera,,,,Staphylinidae,Tachyporinae,,,,col135
CPBC0124,Coleoptera,,,,Curculionidae,Chryptorhynchinae,,,,col137
CPBC0125,Coleoptera,,,,Curculionidae,Chryptorhynchinae,,,,col137
CPBC0126,Coleoptera,,,,Staphylinidae,,,,,col138
CPBC0127,Coleoptera,,,,Chrysomelidae,Bruchinae,,,,col141
CPBC0128,Coleoptera,,,,Chrysomelidae,Bruchinae,,,,col141
CPBC0129,Coleoptera,,,,Cerambycidae,Lamiinae,Apomecynini,,,col146
CPBC0130,Coleoptera,,,,Melyridae,Malachiinae,,,,col149
CPBC0131,Coleoptera,,,,Melyridae,Malachiinae,,,,col149
CPBC0132,Coleoptera,,,,Melyridae,Dasytinae,,,,col150
CPBC0133,Coleoptera,,,,Ptilodactylidae,,,,,col154
CPBC0134,Coleoptera,,,,Laemophloeidae,,,,,col156
CPBC0135,Coleoptera,,,,Staphylinidae,,,,,col157
